Bayanda Maseko | operation count = 1
Enzokuhle Ngcobo | operation count = 395
Lebogang Louw | operation count = 1594
Mia Dlamini | operation count = 1595
Lwandle Mokoena | operation count = 1320
Angel Jacobs | operation count = 1597
Hlelokuhle Olyn | operation count = 1084
Letlotlo Ngobeni | operation count = 1599
Phenyo Beukes | operation count = 577
Iminathi Ndou | operation count = 1601
Likuwe Tshabalala | operation count = 1602
Warona Jacobs | operation count = 1603
Katlego Mthembu | operation count = 1604
Warona Mogale | operation count = 258
Remofilwe Peter | operation count = 1606
Okuhle Khumalo | operation count = 1607
Amogelang Chauke | operation count = 1608
Aphelele Mohlala | operation count = 691
Lubanzi Mogale | operation count = 642
Alunamda Nkosi | operation count = 1611
Kungawo Nkosi | operation count = 1612
Bonolo Mofokeng | operation count = 1613
Lethokuhle Van | operation count = 1614
Lesedi Williams | operation count = 1358
Tshegofatso Olyn | operation count = 696
Omaatla Dlamini | operation count = 474
Karabo Shabangu | operation count = 876
Mia Davids | operation count = 1619
Amogelang Louw | operation count = 1620
Elijah Williams | operation count = 343
Karabo Maseko | operation count = 674
Kungawo Ngwenya | operation count = 795
Lingomso Nkosi | operation count = 1624
Lingomso Williams | operation count = 1625
Karabo Maseko | operation count = 847
Likuwe Williams | operation count = 1364
Naledi Baloyi | operation count = 1628
Bokamoso Davids | operation count = 1629
Omphile Khoza | operation count = 1630
Letlotlo Mkhize | operation count = 1631
Sphesihle Klaas | operation count = 1632
Bokamoso Tshabalala | operation count = 1633
Katlego Khoza | operation count = 1634
Junior Booi | operation count = 1216
Amogelang Khumalo | operation count = 1636
Noah Ndou | operation count = 1637
Kungawo Ndou | operation count = 745
Thato Booysen | operation count = 1294
Hlelokuhle Shabangu | operation count = 1640
Likuwe Daniels | operation count = 1641
Alunamda Mnisi | operation count = 405
Iminathi Olyn | operation count = 1643
Katlego Moloi | operation count = 749
Caleb Maluleke | operation count = 1645
Bokamoso Modise | operation count = 526
Lethabo Nkosi | operation count = 928
Junior Nkuna | operation count = 1467
Luke Mathebula | operation count = 730
Othalive Olyn | operation count = 62
Tshegofatso Witbooi | operation count = 380
Amogelang Visagie | operation count = 1370
Kamohelo Beukes | operation count = 1653
Amahle Mokoena | operation count = 1654
Onthatile Klaas | operation count = 1655
Luke Hendricks | operation count = 1656
Bokang Mohlala | operation count = 327
Mpho Mathebula | operation count = 364
Ava Radebe | operation count = 1483
Oratilwe Mohlala | operation count = 1660
Lethabo Mogale | operation count = 1344
Karabo Tshabalala | operation count = 1662
Siphosethu Smith | operation count = 1379
Blessing Nhlapo | operation count = 472
Onthatile Mokoena | operation count = 1665
Siphesihle Mahlangu | operation count = 890
Melokuhle Booi | operation count = 458
Remofilwe Malatji | operation count = 1668
Luthando Williams | operation count = 1669
Esihle Olyn | operation count = 1670
Onthatile Smith | operation count = 1282
Kungawo Tsotetsi | operation count = 27
Khayone Mofokeng | operation count = 1395
Kungawo Mthembu | operation count = 1212
Ava Mahlangu | operation count = 1323
Alunamda Mahlangu | operation count = 1454
Amohelang Tsotetsi | operation count = 1135
Angel Peter | operation count = 1678
Jayden Witbooi | operation count = 855
Lethokuhle Chauke | operation count = 1680
Phenyo Motaung | operation count = 239
Karabo Moloi | operation count = 77
Othalive Mnisi | operation count = 1683
Enzokuhle Maluleke | operation count = 1684
Siphesihle Sithole | operation count = 1685
Asemahle Abrahams | operation count = 1686
Kamogelo Smith | operation count = 1687
Oratilwe Klaas | operation count = 1118
Amohelang Tsotetsi | operation count = 1689
Reatlegile Shabangu | operation count = 356
Karabo Moeng | operation count = 1691
Lingomso Olyn | operation count = 1302
Nkosenhle Radebe | operation count = 1693
Luthando Dyantyi | operation count = 652
Siphesihle Modise | operation count = 152
Karabo Visagie | operation count = 103
Bonolo Tshabalala | operation count = 1697
Lingomso Shabangu | operation count = 1698
Othalive Malatji | operation count = 1699
Luke Khumalo | operation count = 460
Kamohelo Klaas | operation count = 109
Bayanda Nkuna | operation count = 376
Alunamda Daniels | operation count = 1703
Rorisang Petersen | operation count = 927
Karabo Booi | operation count = 1705
Kungawo Abrahams | operation count = 522
Katlego Cloete | operation count = 1707
Blessing Shabangu | operation count = 782
Bonolo Ngobeni | operation count = 776
Amohelang Baloyi | operation count = 1710
Kamogelo Baloyi | operation count = 1711
Lethabo Hendricks | operation count = 1712
Bandile Baloyi | operation count = 1444
Amogelang Nkuna | operation count = 1714
Ofentse Ndlovu | operation count = 1715
Reneilwe Madikizela | operation count = 1716
Aphelele Klaas | operation count = 1717
Jayden Petersen | operation count = 1718
Sphesihle Hendricks | operation count = 1719
Karabo Shabangu | operation count = 1720
Olerato Khoza | operation count = 1721
Elijah Mnisi | operation count = 1722
Emihle Nkosi | operation count = 1723
Olerato Tsotetsi | operation count = 954
Alunamda Daniels | operation count = 1703
Katleho Mkhize | operation count = 635
Isabella Mokoena | operation count = 1727
Lesedi Radebe | operation count = 1728
Karabo Smith | operation count = 1592
Aphelele Ndlovu | operation count = 1730
Katleho Gumede | operation count = 1731
Katlego Mkhize | operation count = 191
Leano Maseko | operation count = 1733
Leano Khoza | operation count = 1068
Kungawo Cloete | operation count = 1735
Lebogang Maseko | operation count = 1736
Aphelele Baloyi | operation count = 1737
Siphosethu Buthelezi | operation count = 1738
Melokuhle Cloete | operation count = 1739
Omphile Mudau | operation count = 1740
Ofentse Gumede | operation count = 1741
Omaatla Mogale | operation count = 1742
Omaatla Davids | operation count = 1743
Bokamoso Moeng | operation count = 199
Nkosenhle Peter | operation count = 1154
Lethabo Nkuna | operation count = 706
Nkosenhle Mudau | operation count = 1747
Siyabonga Motloung | operation count = 852
Amohelang Petersen | operation count = 1749
Warona Williams | operation count = 1750
Bandile Olyn | operation count = 879
Okuhle Nhlapo | operation count = 315
Caleb Tshabalala | operation count = 1753
Nkosenhle Tshabalala | operation count = 1754
Noah Tsotetsi | operation count = 556
Khayone Maluleke | operation count = 1193
Reatlegile Jack | operation count = 1757
Bonolo Maseko | operation count = 425
Karabo Chauke | operation count = 1759
Isabella Mosia | operation count = 1760
Katlego Chauke | operation count = 1243
Hlelokuhle Visagie | operation count = 1762
Noah Mathebula | operation count = 1763
Omaatla Nhlapo | operation count = 1764
Olothando Peter | operation count = 1159
Emihle Ndou | operation count = 153
Omphile Mokoena | operation count = 1767
Katlego Mkhize | operation count = 1768
Likuwe Abrahams | operation count = 1769
Amogelang Booysen | operation count = 1770
Amogelang Visagie | operation count = 1370
Remofilwe Mathebula | operation count = 971
Kungawo Mthembu | operation count = 1773
Lebogang Mofokeng | operation count = 396
Bandile Mosia | operation count = 1775
Luke Mokoena | operation count = 1776
Thato Maseko | operation count = 1777
Noah Sithole | operation count = 1778
Ofentse Motloung | operation count = 1779
Remofilwe Mnisi | operation count = 117
Rorisang Jacobs | operation count = 1781
Faith Buthelezi | operation count = 496
Alunamda Gumede | operation count = 1783
Luke Ndlovu | operation count = 1784
Karabo Tshabalala | operation count = 1785
Relebohile Daniels | operation count = 1786
Kamogelo Ndlovu | operation count = 1787
Kungawo Madikizela | operation count = 1788
Enzokuhle Motloung | operation count = 1789
Sphesihle Motaung | operation count = 1790
Lingomso Booi | operation count = 1791
Joshua Witbooi | operation count = 1295
Minenhle Jacobs | operation count = 517
Lesedi Molefe | operation count = 176
Noah Daniels | operation count = 1795
Kungawo Moeng | operation count = 1796
Leah Mofokeng | operation count = 1048
Lisakhanya Mohlala | operation count = 111
Letlotlo Jack | operation count = 792
Katlego Ndou | operation count = 449
Lethokuhle Moeng | operation count = 1801
Omphile Abrahams | operation count = 1802
Likuwe Klaas | operation count = 1803
Lebogang Hendricks | operation count = 794
Amogelang Mthembu | operation count = 1805
Hlelokuhle Gumede | operation count = 1806
Joshua Jacobs | operation count = 1807
Noah Jack | operation count = 1036
Oratile Mofokeng | operation count = 1809
Lingomso Mudau | operation count = 1528
Katlego Hendricks | operation count = 1811
Enzokuhle Hendricks | operation count = 1812
Junior Booi | operation count = 1216
Omphile Smith | operation count = 791
Bandile Witbooi | operation count = 1815
Lethokuhle Chauke | operation count = 1586
Kungawo Motloung | operation count = 158
Minenhle Ngwenya | operation count = 1818
Omaatla Nkuna | operation count = 1556
Enzokuhle Tsotetsi | operation count = 1820
Angel Petersen | operation count = 1544
Nkosenhle Tsotetsi | operation count = 107
Liam Maluleke | operation count = 1823
Sphesihle Hendricks | operation count = 1719
Liam Mogale | operation count = 1426
Lingomso Dlamini | operation count = 1826
Katlego Tsotetsi | operation count = 1827
Omolemo Nkosi | operation count = 909
Angel Hendricks | operation count = 1829
Melokuhle Nkosi | operation count = 1830
Ayabonga Mohlala | operation count = 1831
Jayden Klaas | operation count = 503
Alunamda Baloyi | operation count = 1091
Hlelokuhle Motaung | operation count = 1834
Bokamoso Sithole | operation count = 1835
Enzokuhle Ngcobo | operation count = 445
Othalive Peter | operation count = 832
Siphosethu Ngobeni | operation count = 700
Bokamoso Mnisi | operation count = 1839
Nkosenhle Booysen | operation count = 1840
Oratilwe Abrahams | operation count = 523
Lesedi Visagie | operation count = 1842
Warona Visagie | operation count = 1843
Ava Ngcobo | operation count = 361
Amohelang Sithole | operation count = 1845
Likuwe Adams | operation count = 643
Warona Beukes | operation count = 651
Blessing Petersen | operation count = 1449
Karabo Mudau | operation count = 1849
Siphosethu Buthelezi | operation count = 1738
Ofentse Ngcobo | operation count = 1551
Kungawo Mathebula | operation count = 1852
Onthatile Baloyi | operation count = 1853
Amohelang Baloyi | operation count = 1710
Katleho Davids | operation count = 1855
Omolemo Maluleke | operation count = 1856
Luthando Williams | operation count = 1669
Amogelang Radebe | operation count = 1858
Phenyo Mathebula | operation count = 292
Luthando Mogale | operation count = 923
Bandile Mahlangu | operation count = 1861
Thato Mathebula | operation count = 1862
Omphile Smith | operation count = 245
Amogelang Sithole | operation count = 1864
Tshegofatso Klaas | operation count = 37
Bayanda Sithole | operation count = 274
Minenhle Radebe | operation count = 414
Khayone Maseko | operation count = 1042
Reatlegile Mthembu | operation count = 1869
Lethokuhle Ngwenya | operation count = 1870
Mpho Hendricks | operation count = 213
Ofentse Hendricks | operation count = 35
Enzokuhle Buthelezi | operation count = 1047
Junior Dyantyi | operation count = 1874
Khayone Maseko | operation count = 1042
Remofilwe Mogale | operation count = 139
Enzokuhle Moloi | operation count = 1877
Tshegofatso Klaas | operation count = 1878
Othalive Mosia | operation count = 1879
Philasande Tsotetsi | operation count = 1880
Oratilwe Abrahams | operation count = 523
Karabo Mahlangu | operation count = 995
Liam Peter | operation count = 1883
Emihle Booysen | operation count = 532
Siyabonga Mokoena | operation count = 192
Luthando Motloung | operation count = 1307
Luthando Mkhize | operation count = 197
Amogelang Nhlapo | operation count = 1888
Liam Moeng | operation count = 1377
Lebogang Olyn | operation count = 511
Tshegofatso Mathebula | operation count = 980
Letlotlo Maluleke | operation count = 79
Luke Baloyi | operation count = 428
Hlelokuhle Sithole | operation count = 1894
Aphelele Chauke | operation count = 1169
Omaatla Jack | operation count = 1896
Luthando Sithole | operation count = 334
Amohelang Tsotetsi | operation count = 1135
Amogelang Klaas | operation count = 841
Oratile Motaung | operation count = 1900
Leano Davids | operation count = 1063
Lesedi Visagie | operation count = 216
Asemahle Ngcobo | operation count = 147
Remofilwe Abrahams | operation count = 1904
Lesedi Jacobs | operation count = 1905
Siyabonga Hendricks | operation count = 1906
Minenhle Maluleke | operation count = 1907
Mia Radebe | operation count = 237
Likuwe Mnisi | operation count = 874
Iminathi Booi | operation count = 174
Bonolo Abrahams | operation count = 1911
Lebogang Olyn | operation count = 511
Amohelang Ngobeni | operation count = 1913
Alunamda Tsotetsi | operation count = 1914
Amohelang Williams | operation count = 742
Melokuhle Khoza | operation count = 1916
Lebogang Booi | operation count = 1534
Blessing Motloung | operation count = 1918
Othalive Ngwenya | operation count = 570
Philasande Cloete | operation count = 1920
Lethokuhle Khumalo | operation count = 1921
Katlego Beukes | operation count = 1922
Lesedi Mkhize | operation count = 84
Omolemo Mkhize | operation count = 1924
Amogelang Mudau | operation count = 701
Esihle Davids | operation count = 1926
Emihle Mthembu | operation count = 1927
Noah Mkhize | operation count = 1473
Banele Motaung | operation count = 303
Lethokuhle Ngcobo | operation count = 833
Nkosenhle Radebe | operation count = 1931
Omolemo Malatji | operation count = 1932
Likuwe Nhlapo | operation count = 173
Joshua Madikizela | operation count = 1934
Junior Nkosi | operation count = 1935
Kungawo Daniels | operation count = 906
Enzokuhle Abrahams | operation count = 1196
Lethabo Nkuna | operation count = 706
Lingomso Malatji | operation count = 381
Iminathi Modise | operation count = 1940
Onthatile Mathebula | operation count = 1941
Bandile Visagie | operation count = 1942
Joshua Visagie | operation count = 1943
Joshua Ngwenya | operation count = 1134
Lethabo Mohlala | operation count = 1411
Ayabonga Buthelezi | operation count = 1946
Melokuhle Ngcobo | operation count = 1947
Lethabo Olyn | operation count = 1948
Amogelang Dyantyi | operation count = 3
Emihle Nkosi | operation count = 1723
Thato Booysen | operation count = 1294
Luthando Buthelezi | operation count = 1400
Kamogelo Klaas | operation count = 1311
Oratile Jacobs | operation count = 1954
Bayanda Witbooi | operation count = 1955
Reatlegile Witbooi | operation count = 1956
Onthatile Booysen | operation count = 206
Kamohelo Mofokeng | operation count = 278
Likuwe Motloung | operation count = 715
Philasande Nkosi | operation count = 1403
Lethokuhle Chauke | operation count = 1026
Luke Witbooi | operation count = 1122
Lesedi Mkhize | operation count = 84
Phenyo Mahlangu | operation count = 986
Phenyo Smith | operation count = 1965
Bokang Cloete | operation count = 1486
Luke Mosia | operation count = 418
Lethabo Maseko | operation count = 1968
Lesedi Mogale | operation count = 1969
Siyabonga Hendricks | operation count = 1906
Lwandle Daniels | operation count = 316
Lubanzi Booysen | operation count = 1972
Junior Dyantyi | operation count = 1973
Karabo Mthembu | operation count = 514
Thato Mathebula | operation count = 1862
Ofentse Ngobeni | operation count = 973
Aphelele Ngwenya | operation count = 1977
Okuhle Mokoena | operation count = 1978
Enzokuhle Williams | operation count = 1493
Blessing Ndou | operation count = 1980
Siphosethu Madikizela | operation count = 1981
Warona Visagie | operation count = 1843
Junior Dyantyi | operation count = 1874
Jayden Baloyi | operation count = 1984
Kamogelo Smith | operation count = 1985
Melokuhle Khoza | operation count = 1916
Ayabonga Cloete | operation count = 1987
Katleho Mogale | operation count = 1988
Aphelele Khumalo | operation count = 262
Olothando Mokoena | operation count = 1165
Reneilwe Hendricks | operation count = 13
Rorisang Gumede | operation count = 470
Thato Smith | operation count = 1993
Warona Motaung | operation count = 417
Olothando Moeng | operation count = 998
Kungawo Ndou | operation count = 967
Katlego Mohlala | operation count = 721
Bayanda Adams | operation count = 319
Okuhle Nhlapo | operation count = 315
Ava Daniels | operation count = 2000
Bokamoso Smith | operation count = 542
Bayanda Tshabalala | operation count = 1143
Siphesihle Mokoena | operation count = 1183
Lingomso Maluleke | operation count = 246
Kamogelo Ndlovu | operation count = 1078
Lesedi Mohlala | operation count = 1171
Reatlegile Ndlovu | operation count = 448
Bandile Mahlangu | operation count = 2008
Isabella Mohlala | operation count = 2009
Karabo Van | operation count = 2010
Aphelele Sithole | operation count = 277
Faith Cloete | operation count = 527
Alunamda Motloung | operation count = 105
Mia Mnisi | operation count = 1349
Bayanda Mudau | operation count = 2015
Minenhle Molefe | operation count = 1109
Bokamoso Smith | operation count = 588
Lethokuhle Van | operation count = 1614
Onthatile Baloyi | operation count = 1853
Phenyo Mathebula | operation count = 292
Nkosenhle Mudau | operation count = 1747
Likuwe Nhlapo | operation count = 173
Rethabile Baloyi | operation count = 1157
Leah Ngobeni | operation count = 538
Olothando Peter | operation count = 1159
Karabo Van | operation count = 2010
Oratilwe Motaung | operation count = 1004
Luthando Mkhize | operation count = 197
Lebogang Hendricks | operation count = 794
Leah Dlamini | operation count = 2030
Nkosenhle Chauke | operation count = 214
Jayden Petersen | operation count = 962
Ayabonga Molefe | operation count = 1008
Elijah Mosia | operation count = 89
Jayden Khumalo | operation count = 2035
Amogelang Dlamini | operation count = 2036
Asemahle Van | operation count = 2037
Leah Mofokeng | operation count = 1048
Bokang Ngwenya | operation count = 1005
Jayden Petersen | operation count = 962
Elijah Moloi | operation count = 2041
Siphesihle Ngobeni | operation count = 2042
Luthando Booi | operation count = 1188
Amahle Abrahams | operation count = 299
Caleb Radebe | operation count = 2045
Karabo Visagie | operation count = 103
Kungawo Abrahams | operation count = 70
Mpho Madikizela | operation count = 2048
Olerato Abrahams | operation count = 442
Lwandle Ndlovu | operation count = 2050
Ofentse Cloete | operation count = 429
Nkosenhle Maseko | operation count = 1241
Lebogang Hendricks | operation count = 2053
Lesedi Ndou | operation count = 2054
Amogelang Mosia | operation count = 766
Olerato Nkosi | operation count = 2056
Liam Ngcobo | operation count = 2057
Bonolo Ngobeni | operation count = 541
Okuhle Mudau | operation count = 2059
Ofentse Louw | operation count = 2060
Bokamoso Nkosi | operation count = 141
Oratile Peter | operation count = 2062
Aphelele Motloung | operation count = 2063
Joshua Mosia | operation count = 2064
Siphosethu Mahlangu | operation count = 823
Iminathi Ngwenya | operation count = 2066
Omolemo Nkosi | operation count = 1204
Siphesihle Mofokeng | operation count = 2068
Onthatile Mokoena | operation count = 2069
Lesedi Williams | operation count = 1358
Likuwe Sithole | operation count = 1413
Lisakhanya Mogale | operation count = 471
Lwandle Nkuna | operation count = 2073
Reatlegile Mkhize | operation count = 2074
Amahle Hendricks | operation count = 2075
Kungawo Abrahams | operation count = 70
Rethabile Mnisi | operation count = 2077
Leah Malatji | operation count = 2078
Kamohelo Ndou | operation count = 133
Bayanda Mudau | operation count = 2015
Kamogelo Louw | operation count = 2081
Amogelang Nkosi | operation count = 2082
Reatlegile Williams | operation count = 683
Reatlegile Shabangu | operation count = 356
Kungawo Motloung | operation count = 158
Angel Jacobs | operation count = 1597
Thato Smith | operation count = 1993
Bokamoso Louw | operation count = 2088
Oratilwe Dlamini | operation count = 883
Esihle Hendricks | operation count = 1230
Enzokuhle Ndou | operation count = 2091
Bokamoso Nkuna | operation count = 282
Alwande Ngcobo | operation count = 2093
Angel Jacobs | operation count = 2094
Siyabonga Booysen | operation count = 1333
Melokuhle Khoza | operation count = 1916
Bokang Dlamini | operation count = 2097
Hlelokuhle Mofokeng | operation count = 2098
Reneilwe Sithole | operation count = 2099
Lesedi Radebe | operation count = 1728
Elijah Mnisi | operation count = 1722
Amahle Maseko | operation count = 1538
Oratilwe Ndlovu | operation count = 2103
Katleho Olyn | operation count = 665
Lwandle Moeng | operation count = 2105
Amahle Maseko | operation count = 1538
Lubanzi Sithole | operation count = 1409
Lwandle Dlamini | operation count = 2108
Ofentse Madikizela | operation count = 118
Amogelang Adams | operation count = 1281
Lethabo Buthelezi | operation count = 2111
Joshua Maseko | operation count = 2112
Reatlegile Witbooi | operation count = 2113
Omphile Smith | operation count = 791
Olerato Gumede | operation count = 2115
Philasande Booi | operation count = 2116
Joshua Visagie | operation count = 1943
Olothando Nkuna | operation count = 2118
Bayanda Maseko | operation count = 2119
Reatlegile Malatji | operation count = 2120
Karabo Van | operation count = 2010
Jayden Mathebula | operation count = 738
Nkosenhle Radebe | operation count = 1693
Lebogang Chauke | operation count = 2124
Bokamoso Dlamini | operation count = 324
Onthatile Khumalo | operation count = 2126
Siphosethu Maluleke | operation count = 47
Lebogang Cloete | operation count = 314
Ava Van | operation count = 211
Liam Khumalo | operation count = 2130
Lwandle Louw | operation count = 2131
Asemahle Dlamini | operation count = 2132
Amohelang Jacobs | operation count = 328
Omaatla Davids | operation count = 203
Kamogelo Maseko | operation count = 1502
Ava Shabangu | operation count = 497
Enzokuhle Motloung | operation count = 1789
Lingomso Shabangu | operation count = 1698
Esihle Ngcobo | operation count = 1433
Lethokuhle Hendricks | operation count = 707
Katlego Mahlangu | operation count = 355
Emihle Nkosi | operation count = 57
Onthatile Mosia | operation count = 1031
Remofilwe Mogale | operation count = 139
Kungawo Witbooi | operation count = 2145
Kamogelo Smith | operation count = 1985
Hlelokuhle Shabangu | operation count = 20
Thato Peter | operation count = 853
Reatlegile Mnisi | operation count = 2149
Mpho Moeng | operation count = 2150
Luphawu Adams | operation count = 1545
Kungawo Mogale | operation count = 2152
Ofentse Modise | operation count = 1151
Okuhle Khumalo | operation count = 1607
Siyabonga Mofokeng | operation count = 2155
Tshegofatso Booi | operation count = 2156
Remofilwe Khoza | operation count = 1384
Lubanzi Mogale | operation count = 2158
Omphile Olyn | operation count = 2159
Katlego Modise | operation count = 2160
Bayanda Nhlapo | operation count = 2161
Okuhle Mthembu | operation count = 99
Onthatile Nkuna | operation count = 1390
Luke Gumede | operation count = 521
Sphesihle Cloete | operation count = 2165
Lingomso Daniels | operation count = 2166
Luphawu Malatji | operation count = 142
Iminathi Booi | operation count = 663
Reneilwe Davids | operation count = 942
Omaatla Mnisi | operation count = 2170
Melokuhle Mthembu | operation count = 2171
Elijah Mthembu | operation count = 2172
Emihle Ndlovu | operation count = 1079
Alwande Van | operation count = 2174
Bokang Molefe | operation count = 2175
Rethabile Mogale | operation count = 2176
Warona Jacobs | operation count = 1603
Reneilwe Mudau | operation count = 2178
Onthatile Khumalo | operation count = 2126
Omaatla Hendricks | operation count = 2180
Lebogang Nkosi | operation count = 2181
Angel Peter | operation count = 14
Tshegofatso Mudau | operation count = 2183
Rorisang Witbooi | operation count = 1450
Blessing Louw | operation count = 2185
Alunamda Tsotetsi | operation count = 1914
Joshua Visagie | operation count = 1943
Warona Van | operation count = 2188
Bokamoso Booi | operation count = 2189
Letlotlo Moloi | operation count = 2190
Omolemo Tshabalala | operation count = 2191
Mpho Mthembu | operation count = 725
Katlego Chauke | operation count = 2193
Asemahle Dlamini | operation count = 2194
Onthatile Beukes | operation count = 15
Lebogang Nhlapo | operation count = 2196
Letlotlo Klaas | operation count = 2197
Okuhle Mthembu | operation count = 99
Lebogang Khumalo | operation count = 771
Ofentse Dyantyi | operation count = 2200
Angel Ngobeni | operation count = 2201
Lesedi Nkuna | operation count = 802
Lethabo Mthembu | operation count = 2203
Liam Mogale | operation count = 1297
Joshua Maseko | operation count = 2112
Khayone Mokoena | operation count = 2206
Katlego Maseko | operation count = 2207
Melokuhle Moeng | operation count = 2208
Ofentse Mohlala | operation count = 404
Rethabile Moloi | operation count = 273
Lethokuhle Mnisi | operation count = 2211
Kamohelo Klaas | operation count = 109
Lingomso Booysen | operation count = 2213
Ava Chauke | operation count = 238
Iminathi Daniels | operation count = 1258
Alwande Dyantyi | operation count = 126
Lwandle Tshabalala | operation count = 386
Lebogang Cloete | operation count = 2218
Mia Klaas | operation count = 2219
Lubanzi Mogale | operation count = 2158
Kungawo Beukes | operation count = 2221
Luphawu Smith | operation count = 2222
Siyabonga Cloete | operation count = 554
Lesedi Peter | operation count = 2224
Rorisang Maseko | operation count = 2225
Lebogang Olyn | operation count = 511
Remofilwe Peter | operation count = 1606
Onthatile Baloyi | operation count = 2228
Luthando Williams | operation count = 1669
Kungawo Olyn | operation count = 2230
Luke Mohlala | operation count = 898
Reatlegile Shabangu | operation count = 356
Onthatile Maluleke | operation count = 2233
Naledi Mosia | operation count = 2234
Likuwe Baloyi | operation count = 2235
Onthatile Motaung | operation count = 1508
Leano Shabangu | operation count = 2237
Sphesihle Hendricks | operation count = 1719
Oratilwe Ngwenya | operation count = 83
Aphelele Maluleke | operation count = 2240
Karabo Shabangu | operation count = 2241
Thato Khumalo | operation count = 2242
Katleho Khoza | operation count = 2243
Thandolwethu Mnisi | operation count = 411
Phenyo Abrahams | operation count = 2245
Lesedi Sithole | operation count = 467
Emihle Mogale | operation count = 2247
Siyabonga Davids | operation count = 2248
Alwande Khoza | operation count = 2249
Remofilwe Peter | operation count = 1606
Remofilwe Hendricks | operation count = 2251
Isabella Motaung | operation count = 829
Onthatile Ndou | operation count = 2253
Lethokuhle Mahlangu | operation count = 1499
Lethabo Moeng | operation count = 774
Phenyo Mosia | operation count = 2256
Enzokuhle Tshabalala | operation count = 1366
Blessing Petersen | operation count = 1449
Ayabonga Sithole | operation count = 446
Phenyo Williams | operation count = 155
Tshegofatso Mathebula | operation count = 980
Joshua Jack | operation count = 885
Omaatla Hendricks | operation count = 2263
Mpho Radebe | operation count = 2264
Bokamoso Booi | operation count = 2265
Luphawu Shabangu | operation count = 2266
Lubanzi Mogale | operation count = 2158
Othalive Booysen | operation count = 2268
Melokuhle Mohlala | operation count = 2269
Lethabo Petersen | operation count = 151
Kamogelo Abrahams | operation count = 940
Sphesihle Hendricks | operation count = 1719
Reatlegile Mahlangu | operation count = 2273
Aphelele Ngobeni | operation count = 1442
Relebohile Booi | operation count = 1224
Lethabo Olyn | operation count = 1173
Reneilwe Maseko | operation count = 1361
Jayden Madikizela | operation count = 123
Esihle Witbooi | operation count = 2279
Lisakhanya Jacobs | operation count = 1421
Jayden Witbooi | operation count = 855
Reatlegile Hendricks | operation count = 2282
Bandile Ndlovu | operation count = 2283
Kamogelo Nkosi | operation count = 2284
Lingomso Nkosi | operation count = 2285
Luthando Mkhize | operation count = 197
Alunamda Moloi | operation count = 2287
Reatlegile Booi | operation count = 2288
Lebogang Mathebula | operation count = 2289
Kamogelo Nhlapo | operation count = 1388
Warona Petersen | operation count = 1389
Bonolo Ngobeni | operation count = 541
Kamogelo Nhlapo | operation count = 473
Noah Mkhize | operation count = 1473
Melokuhle Nkosi | operation count = 1830
Reneilwe Tshabalala | operation count = 275
Siphosethu Nhlapo | operation count = 2297
Esihle Booi | operation count = 2298
Karabo Dyantyi | operation count = 2299
Esihle Moloi | operation count = 2300
Onthatile Louw | operation count = 565
Lisakhanya Mogale | operation count = 471
Ofentse Booi | operation count = 433
Kungawo Khumalo | operation count = 1020
Isabella Louw | operation count = 2305
Tshegofatso Gumede | operation count = 2306
Tshegofatso Olyn | operation count = 696
Kamohelo Nkuna | operation count = 931
Likuwe Sithole | operation count = 1413
Lingomso Madikizela | operation count = 1033
Joshua Madikizela | operation count = 1934
Lisakhanya Motloung | operation count = 2312
Thato Maseko | operation count = 1777
Enzokuhle Booi | operation count = 2314
Oratile Tshabalala | operation count = 1016
Kamogelo Booysen | operation count = 2316
Mpho Mahlangu | operation count = 991
Onthatile Tshabalala | operation count = 2318
Lesedi Adams | operation count = 58
Kamogelo Smith | operation count = 1687
Katleho Gumede | operation count = 1059
Rorisang Petersen | operation count = 927
Sphesihle Mnisi | operation count = 94
Lesedi Molefe | operation count = 2324
Rethabile Olyn | operation count = 2325
Asemahle Olyn | operation count = 2326
Onthatile Mokoena | operation count = 2069
Katlego Buthelezi | operation count = 2328
Ofentse Nkosi | operation count = 1103
Thato Olyn | operation count = 96
Olothando Nkosi | operation count = 2331
Amahle Gumede | operation count = 2332
Rorisang Nhlapo | operation count = 546
Kamogelo Baloyi | operation count = 2334
Lethabo Jacobs | operation count = 49
Ofentse Adams | operation count = 2336
Phenyo Khumalo | operation count = 690
Luke Hendricks | operation count = 1656
Esihle Ngobeni | operation count = 169
Leano Mosia | operation count = 2340
Noah Dyantyi | operation count = 2341
Onthatile Van | operation count = 2342
Nkosenhle Mudau | operation count = 1431
Bandile Hendricks | operation count = 251
Emihle Mogale | operation count = 2247
Jayden Nhlapo | operation count = 2346
Katleho Daniels | operation count = 1503
Lisakhanya Mohlala | operation count = 111
Karabo Mogale | operation count = 2349
Noah Van | operation count = 2350
Iminathi Mnisi | operation count = 52
Warona Mkhize | operation count = 2352
Tshegofatso Ndlovu | operation count = 2353
Ofentse Cloete | operation count = 429
Katlego Abrahams | operation count = 2355
Reneilwe Mathebula | operation count = 1293
Kungawo Beukes | operation count = 2221
Hlelokuhle Khumalo | operation count = 2358
Kamogelo Louw | operation count = 2081
Khayone Motloung | operation count = 2360
Emihle Maseko | operation count = 178
Alunamda Klaas | operation count = 920
Oratile Klaas | operation count = 2363
Sphesihle Gumede | operation count = 286
Warona Petersen | operation count = 1389
