Banele Olyn | operation insert count 0 | operation find count = 3
Tshegofatso Ngwenya | operation insert count 9 | operation find count = 19
Kungawo Mohlala | operation insert count 11 | operation find count = 21
Asemahle Mokoena | operation insert count 10 | operation find count = 13
Liam Nkuna | operation insert count 9 | operation find count = 19
Remofilwe Molefe | operation insert count 11 | operation find count = 15
Luke Radebe | operation insert count 9 | operation find count = 13
Reneilwe Petersen | operation insert count 11 | operation find count = 19
Naledi Mogale | operation insert count 12 | operation find count = 15
Angel Moloi | operation insert count 12 | operation find count = 23
Omphile Mnisi | operation insert count 11 | operation find count = 21
Bonolo Mudau | operation insert count 11 | operation find count = 19
Joshua Maseko | operation insert count 11 | operation find count = 17
Amogelang Dyantyi | operation insert count 10 | operation find count = 23
Amogelang Petersen | operation insert count 10 | operation find count = 15
Okuhle Khoza | operation insert count 11 | operation find count = 19
Siyabonga Witbooi | operation insert count 10 | operation find count = 17
Caleb Ngcobo | operation insert count 9 | operation find count = 21
Emihle Booysen | operation insert count 10 | operation find count = 21
Joshua Malatji | operation insert count 10 | operation find count = 19
Siyabonga Khumalo | operation insert count 11 | operation find count = 23
Rorisang Mosia | operation insert count 9 | operation find count = 23
Caleb Tshabalala | operation insert count 10 | operation find count = 13
Melokuhle Booysen | operation insert count 11 | operation find count = 23
Elijah Sithole | operation insert count 9 | operation find count = 19
Aphelele Ndlovu | operation insert count 9 | operation find count = 17
Reatlegile Mkhize | operation insert count 7 | operation find count = 9
Kungawo Ndou | operation insert count 10 | operation find count = 21
Katlego Jacobs | operation insert count 8 | operation find count = 19
Banele Baloyi | operation insert count 10 | operation find count = 17
Ava Nkosi | operation insert count 10 | operation find count = 21
Omaatla Mudau | operation insert count 12 | operation find count = 19
Onthatile Mokoena | operation insert count 10 | operation find count = 19
Likuwe Ndou | operation insert count 10 | operation find count = 23
Lesedi Khumalo | operation insert count 11 | operation find count = 21
Lubanzi Dyantyi | operation insert count 10 | operation find count = 19
Olothando Radebe | operation insert count 10 | operation find count = 17
Asemahle Abrahams | operation insert count 10 | operation find count = 21
Katlego Cloete | operation insert count 10 | operation find count = 21
Olerato Mkhize | operation insert count 10 | operation find count = 19
Liam Booysen | operation insert count 10 | operation find count = 17
Othalive Witbooi | operation insert count 10 | operation find count = 21
Onthatile Mthembu | operation insert count 11 | operation find count = 23
Esihle Chauke | operation insert count 11 | operation find count = 19
Oratilwe Hendricks | operation insert count 10 | operation find count = 23
Leano Chauke | operation insert count 11 | operation find count = 21
Jayden Shabangu | operation insert count 10 | operation find count = 17
Siphosethu Ngobeni | operation insert count 9 | operation find count = 19
Lingomso Davids | operation insert count 10 | operation find count = 19
Othalive Ngcobo | operation insert count 10 | operation find count = 19
Lethabo Modise | operation insert count 11 | operation find count = 17
Lethokuhle Smith | operation insert count 9 | operation find count = 21
Alunamda Motloung | operation insert count 11 | operation find count = 23
Khayone Ngobeni | operation insert count 11 | operation find count = 19
Katleho Khoza | operation insert count 11 | operation find count = 23
Likuwe Louw | operation insert count 11 | operation find count = 23
Lebogang Beukes | operation insert count 10 | operation find count = 21
Phenyo Mosia | operation insert count 10 | operation find count = 17
Onthatile Jack | operation insert count 11 | operation find count = 17
Aphelele Booysen | operation insert count 10 | operation find count = 25
Letlotlo Adams | operation insert count 10 | operation find count = 21
Remofilwe Mnisi | operation insert count 10 | operation find count = 19
Onthatile Peter | operation insert count 10 | operation find count = 15
Esihle Hendricks | operation insert count 10 | operation find count = 23
Katleho Mnisi | operation insert count 10 | operation find count = 23
Liam Ngcobo | operation insert count 9 | operation find count = 17
Karabo Ngwenya | operation insert count 9 | operation find count = 25
Hlelokuhle Olyn | operation insert count 12 | operation find count = 17
Okuhle Baloyi | operation insert count 11 | operation find count = 17
Kamogelo Adams | operation insert count 10 | operation find count = 21
Reatlegile Olyn | operation insert count 11 | operation find count = 19
Ofentse Mudau | operation insert count 12 | operation find count = 17
Karabo Ndlovu | operation insert count 11 | operation find count = 23
Alunamda Buthelezi | operation insert count 10 | operation find count = 23
Lwandle Ndlovu | operation insert count 12 | operation find count = 25
Bonolo Motaung | operation insert count 12 | operation find count = 15
Phenyo Moeng | operation insert count 11 | operation find count = 19
Bokang Ndou | operation insert count 11 | operation find count = 21
Aphelele Maluleke | operation insert count 11 | operation find count = 17
Phenyo Moloi | operation insert count 10 | operation find count = 25
Tshegofatso Baloyi | operation insert count 11 | operation find count = 19
Ofentse Radebe | operation insert count 10 | operation find count = 21
Lethokuhle Nhlapo | operation insert count 9 | operation find count = 23
Katlego Petersen | operation insert count 11 | operation find count = 19
Sphesihle Abrahams | operation insert count 9 | operation find count = 19
Aphelele Baloyi | operation insert count 10 | operation find count = 21
Sphesihle Motloung | operation insert count 11 | operation find count = 17
Lethabo Mogale | operation insert count 9 | operation find count = 9
Omaatla Mofokeng | operation insert count 11 | operation find count = 21
Likuwe Khumalo | operation insert count 11 | operation find count = 23
Bandile Madikizela | operation insert count 11 | operation find count = 21
Omaatla Visagie | operation insert count 9 | operation find count = 21
Olothando Peter | operation insert count 11 | operation find count = 15
Noah Mahlangu | operation insert count 12 | operation find count = 23
Othalive Louw | operation insert count 9 | operation find count = 23
Kamogelo Booysen | operation insert count 10 | operation find count = 21
Lebogang Ngwenya | operation insert count 11 | operation find count = 21
Lesedi Jack | operation insert count 11 | operation find count = 23
Amogelang Buthelezi | operation insert count 10 | operation find count = 17
Tshegofatso Gumede | operation insert count 10 | operation find count = 21
Omaatla Van | operation insert count 10 | operation find count = 17
Letlotlo Mofokeng | operation insert count 11 | operation find count = 21
Liam Radebe | operation insert count 9 | operation find count = 17
Lebogang Smith | operation insert count 10 | operation find count = 17
Warona Tshabalala | operation insert count 12 | operation find count = 19
Kamogelo Smith | operation insert count 10 | operation find count = 17
Omphile Nkosi | operation insert count 11 | operation find count = 17
Remofilwe Maluleke | operation insert count 10 | operation find count = 21
Phenyo Khumalo | operation insert count 11 | operation find count = 21
Melokuhle Mthembu | operation insert count 10 | operation find count = 23
Phenyo Abrahams | operation insert count 9 | operation find count = 15
Omolemo Williams | operation insert count 10 | operation find count = 17
Bandile Shabangu | operation insert count 10 | operation find count = 19
Amahle Ndlovu | operation insert count 11 | operation find count = 19
Reatlegile Khumalo | operation insert count 8 | operation find count = 13
Faith Mohlala | operation insert count 9 | operation find count = 21
Siphosethu Williams | operation insert count 10 | operation find count = 21
Amahle Davids | operation insert count 10 | operation find count = 21
Hlelokuhle Sithole | operation insert count 10 | operation find count = 21
Blessing Klaas | operation insert count 11 | operation find count = 23
Likuwe Petersen | operation insert count 10 | operation find count = 13
Bokang Daniels | operation insert count 10 | operation find count = 21
Mia Mathebula | operation insert count 11 | operation find count = 17
Mia Smith | operation insert count 11 | operation find count = 19
Esihle Moeng | operation insert count 11 | operation find count = 17
Sphesihle Mohlala | operation insert count 10 | operation find count = 17
Reatlegile Mudau | operation insert count 10 | operation find count = 19
Iminathi Louw | operation insert count 11 | operation find count = 19
Lethabo Maseko | operation insert count 11 | operation find count = 17
Karabo Mathebula | operation insert count 9 | operation find count = 21
Angel Mogale | operation insert count 11 | operation find count = 19
Leah Ngobeni | operation insert count 10 | operation find count = 23
Amogelang Moeng | operation insert count 10 | operation find count = 21
Bonolo Tsotetsi | operation insert count 8 | operation find count = 19
Bonolo Mofokeng | operation insert count 10 | operation find count = 23
Katlego Witbooi | operation insert count 9 | operation find count = 21
Lethokuhle Beukes | operation insert count 8 | operation find count = 19
Aphelele Baloyi | operation insert count 10 | operation find count = 21
Kungawo Gumede | operation insert count 9 | operation find count = 21
Elijah Tshabalala | operation insert count 11 | operation find count = 21
Tshegofatso Klaas | operation insert count 12 | operation find count = 23
Aphelele Visagie | operation insert count 11 | operation find count = 17
Oratilwe Khumalo | operation insert count 11 | operation find count = 19
Amogelang Mthembu | operation insert count 10 | operation find count = 19
Thandolwethu Mnisi | operation insert count 10 | operation find count = 21
Lesedi Ndou | operation insert count 10 | operation find count = 19
Caleb Williams | operation insert count 10 | operation find count = 21
Jayden Mathebula | operation insert count 10 | operation find count = 21
Omphile Klaas | operation insert count 11 | operation find count = 21
Amohelang Molefe | operation insert count 9 | operation find count = 19
Siphosethu Peter | operation insert count 12 | operation find count = 19
Kamogelo Sithole | operation insert count 10 | operation find count = 23
Tshegofatso Ndlovu | operation insert count 9 | operation find count = 21
Philasande Hendricks | operation insert count 11 | operation find count = 23
Omaatla Shabangu | operation insert count 10 | operation find count = 19
Lethokuhle Mkhize | operation insert count 9 | operation find count = 15
Amohelang Olyn | operation insert count 10 | operation find count = 23
Thandolwethu Ngcobo | operation insert count 11 | operation find count = 21
Ofentse Mokoena | operation insert count 9 | operation find count = 19
Amohelang Malatji | operation insert count 9 | operation find count = 21
Katleho Khumalo | operation insert count 11 | operation find count = 21
Omphile Beukes | operation insert count 10 | operation find count = 19
Reatlegile Visagie | operation insert count 10 | operation find count = 21
Melokuhle Mogale | operation insert count 11 | operation find count = 17
Okuhle Maseko | operation insert count 10 | operation find count = 17
Omphile Sithole | operation insert count 10 | operation find count = 19
Caleb Modise | operation insert count 10 | operation find count = 19
Alunamda Molefe | operation insert count 10 | operation find count = 19
Olothando Radebe | operation insert count 11 | operation find count = 19
Lwandle Motloung | operation insert count 10 | operation find count = 21
Lubanzi Mahlangu | operation insert count 11 | operation find count = 21
Iminathi Tsotetsi | operation insert count 11 | operation find count = 21
Bandile Maseko | operation insert count 10 | operation find count = 25
Leano Khoza | operation insert count 11 | operation find count = 19
Caleb Radebe | operation insert count 11 | operation find count = 17
Esihle Smith | operation insert count 10 | operation find count = 21
Othalive Ngwenya | operation insert count 10 | operation find count = 19
Onthatile Jack | operation insert count 11 | operation find count = 17
Khayone Ngwenya | operation insert count 12 | operation find count = 19
Remofilwe Ndlovu | operation insert count 11 | operation find count = 21
Bokamoso Klaas | operation insert count 12 | operation find count = 13
Amohelang Khumalo | operation insert count 8 | operation find count = 21
Thato Madikizela | operation insert count 10 | operation find count = 19
Melokuhle Van | operation insert count 11 | operation find count = 21
Onthatile Smith | operation insert count 5 | operation find count = 13
Siyabonga Malatji | operation insert count 4 | operation find count = 1
Amohelang Adams | operation insert count 10 | operation find count = 17
Emihle Ngcobo | operation insert count 10 | operation find count = 21
Mia Visagie | operation insert count 11 | operation find count = 21
Philasande Motloung | operation insert count 11 | operation find count = 19
Luphawu Mkhize | operation insert count 8 | operation find count = 11
Amohelang Olyn | operation insert count 12 | operation find count = 19
Lingomso Jack | operation insert count 7 | operation find count = 19
Onthatile Klaas | operation insert count 11 | operation find count = 19
Isabella Shabangu | operation insert count 11 | operation find count = 19
Leano Mahlangu | operation insert count 11 | operation find count = 23
Letlotlo Mkhize | operation insert count 9 | operation find count = 19
Lubanzi Khoza | operation insert count 11 | operation find count = 25
Lubanzi Hendricks | operation insert count 11 | operation find count = 19
Lesedi Van | operation insert count 11 | operation find count = 21
Hlelokuhle Louw | operation insert count 12 | operation find count = 21
Remofilwe Dlamini | operation insert count 8 | operation find count = 19
Esihle Nkuna | operation insert count 10 | operation find count = 17
Othalive Modise | operation insert count 10 | operation find count = 21
Oratilwe Mthembu | operation insert count 11 | operation find count = 23
Blessing Buthelezi | operation insert count 11 | operation find count = 25
Reneilwe Motaung | operation insert count 11 | operation find count = 23
Warona Williams | operation insert count 9 | operation find count = 19
Joshua Mthembu | operation insert count 11 | operation find count = 23
Lethabo Olyn | operation insert count 10 | operation find count = 21
Luthando Ndlovu | operation insert count 10 | operation find count = 21
Okuhle Baloyi | operation insert count 11 | operation find count = 17
Remofilwe Molefe | operation insert count 11 | operation find count = 15
Khayone Ngwenya | operation insert count 12 | operation find count = 19
Hlelokuhle Klaas | operation insert count 8 | operation find count = 17
Reatlegile Maluleke | operation insert count 10 | operation find count = 15
Amohelang Peter | operation insert count 10 | operation find count = 17
Omphile Petersen | operation insert count 11 | operation find count = 17
Luphawu Dyantyi | operation insert count 11 | operation find count = 23
Noah Williams | operation insert count 10 | operation find count = 19
Omaatla Adams | operation insert count 10 | operation find count = 17
Kungawo Mogale | operation insert count 11 | operation find count = 17
Lethokuhle Nkosi | operation insert count 11 | operation find count = 17
Olerato Beukes | operation insert count 11 | operation find count = 21
Luphawu Radebe | operation insert count 11 | operation find count = 19
Esihle Ngcobo | operation insert count 9 | operation find count = 17
Liam Booi | operation insert count 11 | operation find count = 17
Othalive Daniels | operation insert count 11 | operation find count = 23
Rorisang Nhlapo | operation insert count 10 | operation find count = 19
Ava Visagie | operation insert count 11 | operation find count = 23
Katlego Nkosi | operation insert count 11 | operation find count = 19
Liam Maseko | operation insert count 10 | operation find count = 19
Ofentse Dlamini | operation insert count 11 | operation find count = 21
Jayden Mosia | operation insert count 9 | operation find count = 19
Amohelang Ngwenya | operation insert count 11 | operation find count = 25
Omphile Visagie | operation insert count 8 | operation find count = 17
Tshegofatso Maluleke | operation insert count 10 | operation find count = 19
Ofentse Mthembu | operation insert count 8 | operation find count = 15
Lwandle Ndlovu | operation insert count 11 | operation find count = 23
Lethokuhle Daniels | operation insert count 10 | operation find count = 21
Khayone Jacobs | operation insert count 11 | operation find count = 23
Siphosethu Motaung | operation insert count 11 | operation find count = 21
Oratilwe Buthelezi | operation insert count 12 | operation find count = 17
Nkosenhle Mthembu | operation insert count 10 | operation find count = 23
Luphawu Visagie | operation insert count 9 | operation find count = 19
Omphile Van | operation insert count 11 | operation find count = 19
Remofilwe Visagie | operation insert count 11 | operation find count = 19
Lethabo Nkuna | operation insert count 11 | operation find count = 21
Lesedi Ngwenya | operation insert count 11 | operation find count = 19
Lethabo Madikizela | operation insert count 11 | operation find count = 21
Katlego Chauke | operation insert count 12 | operation find count = 17
Mpho Van | operation insert count 11 | operation find count = 23
Lebogang Radebe | operation insert count 7 | operation find count = 17
Likuwe Petersen | operation insert count 11 | operation find count = 15
Esihle Gumede | operation insert count 10 | operation find count = 23
Oratile Jack | operation insert count 11 | operation find count = 21
Omphile Hendricks | operation insert count 11 | operation find count = 25
Omphile Dlamini | operation insert count 10 | operation find count = 15
Lwandle Moloi | operation insert count 10 | operation find count = 21
Sphesihle Ndlovu | operation insert count 5 | operation find count = 11
Bayanda Mathebula | operation insert count 9 | operation find count = 19
Onthatile Baloyi | operation insert count 11 | operation find count = 23
Leano Louw | operation insert count 12 | operation find count = 21
Likuwe Jack | operation insert count 12 | operation find count = 21
Mia Mofokeng | operation insert count 10 | operation find count = 21
Ofentse Adams | operation insert count 11 | operation find count = 21
Lethabo Modise | operation insert count 11 | operation find count = 17
Alwande Molefe | operation insert count 11 | operation find count = 17
Kungawo Motloung | operation insert count 10 | operation find count = 21
Siyabonga Gumede | operation insert count 11 | operation find count = 19
Amohelang Hendricks | operation insert count 11 | operation find count = 23
Mpho Mathebula | operation insert count 10 | operation find count = 19
Lisakhanya Ndou | operation insert count 11 | operation find count = 21
Bayanda Sithole | operation insert count 9 | operation find count = 17
Thato Sithole | operation insert count 9 | operation find count = 19
Jayden Baloyi | operation insert count 10 | operation find count = 21
Iminathi Tshabalala | operation insert count 10 | operation find count = 21
Lwandle Mnisi | operation insert count 10 | operation find count = 23
Lesedi Peter | operation insert count 12 | operation find count = 21
Lesedi Williams | operation insert count 10 | operation find count = 21
Kamohelo Mogale | operation insert count 11 | operation find count = 23
Joshua Khumalo | operation insert count 12 | operation find count = 21
Reatlegile Jack | operation insert count 11 | operation find count = 19
Iminathi Jacobs | operation insert count 12 | operation find count = 17
Likuwe Petersen | operation insert count 10 | operation find count = 13
Rorisang Mosia | operation insert count 8 | operation find count = 21
Emihle Ngwenya | operation insert count 10 | operation find count = 23
Ofentse Witbooi | operation insert count 6 | operation find count = 17
Alwande Mathebula | operation insert count 9 | operation find count = 19
Minenhle Klaas | operation insert count 11 | operation find count = 23
Iminathi Ndou | operation insert count 9 | operation find count = 21
Jayden Peter | operation insert count 12 | operation find count = 19
Leano Nkosi | operation insert count 12 | operation find count = 19
Kamogelo Booi | operation insert count 11 | operation find count = 23
Sphesihle Klaas | operation insert count 12 | operation find count = 23
Olothando Booysen | operation insert count 9 | operation find count = 19
Thandolwethu Peter | operation insert count 11 | operation find count = 19
Phenyo Khumalo | operation insert count 12 | operation find count = 23
Luke Khoza | operation insert count 12 | operation find count = 23
Lwandle Moloi | operation insert count 10 | operation find count = 21
Likuwe Nkosi | operation insert count 11 | operation find count = 19
Sphesihle Hendricks | operation insert count 11 | operation find count = 17
Emihle Petersen | operation insert count 11 | operation find count = 21
Oratilwe Abrahams | operation insert count 11 | operation find count = 25
Katlego Mkhize | operation insert count 10 | operation find count = 17
Othalive Hendricks | operation insert count 11 | operation find count = 21
Ofentse Gumede | operation insert count 10 | operation find count = 21
Katlego Mathebula | operation insert count 10 | operation find count = 19
Luthando Ngobeni | operation insert count 11 | operation find count = 19
Omphile Witbooi | operation insert count 10 | operation find count = 15
Junior Abrahams | operation insert count 11 | operation find count = 21
Mpho Mthembu | operation insert count 7 | operation find count = 21
Omaatla Adams | operation insert count 11 | operation find count = 21
Aphelele Ngwenya | operation insert count 11 | operation find count = 23
Kungawo Radebe | operation insert count 11 | operation find count = 15
Katleho Davids | operation insert count 11 | operation find count = 21
Alunamda Ngcobo | operation insert count 10 | operation find count = 19
Khayone Maluleke | operation insert count 10 | operation find count = 17
Luthando Ndou | operation insert count 11 | operation find count = 23
Amogelang Van | operation insert count 11 | operation find count = 21
Emihle Klaas | operation insert count 12 | operation find count = 21
Jayden Gumede | operation insert count 11 | operation find count = 19
Luthando Jack | operation insert count 11 | operation find count = 23
Mpho Moloi | operation insert count 11 | operation find count = 23
Ofentse Booi | operation insert count 11 | operation find count = 17
Katlego Motaung | operation insert count 10 | operation find count = 19
Alwande Dlamini | operation insert count 11 | operation find count = 15
Amohelang Mahlangu | operation insert count 11 | operation find count = 15
Lethabo Moloi | operation insert count 11 | operation find count = 19
Amogelang Visagie | operation insert count 12 | operation find count = 21
Warona Van | operation insert count 10 | operation find count = 23
Othalive Nkosi | operation insert count 11 | operation find count = 19
Rethabile Baloyi | operation insert count 7 | operation find count = 17
Remofilwe Sithole | operation insert count 11 | operation find count = 23
Karabo Jack | operation insert count 11 | operation find count = 19
Reatlegile Booi | operation insert count 10 | operation find count = 19
Leano Dyantyi | operation insert count 11 | operation find count = 23
Onthatile Modise | operation insert count 10 | operation find count = 17
Lingomso Mokoena | operation insert count 10 | operation find count = 17
Lwandle Daniels | operation insert count 11 | operation find count = 21
Okuhle Khumalo | operation insert count 12 | operation find count = 21
Jayden Mnisi | operation insert count 10 | operation find count = 21
Lethokuhle Ngwenya | operation insert count 10 | operation find count = 21
Joshua Witbooi | operation insert count 10 | operation find count = 15
Olerato Mathebula | operation insert count 11 | operation find count = 25
Jayden Moeng | operation insert count 10 | operation find count = 23
Leano Khoza | operation insert count 12 | operation find count = 23
Reatlegile Khumalo | operation insert count 8 | operation find count = 13
Luke Ngwenya | operation insert count 11 | operation find count = 15
Relebohile Mathebula | operation insert count 10 | operation find count = 23
Thandolwethu Adams | operation insert count 12 | operation find count = 19
Lingomso Booi | operation insert count 10 | operation find count = 13
Tshegofatso Maseko | operation insert count 9 | operation find count = 17
Kungawo Cloete | operation insert count 11 | operation find count = 19
Phenyo Abrahams | operation insert count 9 | operation find count = 15
Amohelang Visagie | operation insert count 11 | operation find count = 23
Bokamoso Mnisi | operation insert count 9 | operation find count = 21
Luke Peter | operation insert count 9 | operation find count = 13
Othalive Molefe | operation insert count 10 | operation find count = 17
Relebohile Mohlala | operation insert count 11 | operation find count = 17
Iminathi Ngwenya | operation insert count 11 | operation find count = 23
Asemahle Daniels | operation insert count 10 | operation find count = 21
Oratilwe Motloung | operation insert count 10 | operation find count = 23
Ofentse Gumede | operation insert count 11 | operation find count = 23
Thato Maseko | operation insert count 9 | operation find count = 19
Olerato Mofokeng | operation insert count 11 | operation find count = 13
Kungawo Booysen | operation insert count 10 | operation find count = 21
Ayabonga Chauke | operation insert count 11 | operation find count = 21
Bayanda Booi | operation insert count 11 | operation find count = 21
Reatlegile Jack | operation insert count 11 | operation find count = 19
Lubanzi Visagie | operation insert count 11 | operation find count = 23
Onthatile Mkhize | operation insert count 8 | operation find count = 15
Ayabonga Radebe | operation insert count 11 | operation find count = 19
Angel Petersen | operation insert count 10 | operation find count = 17
Mpho Moloi | operation insert count 11 | operation find count = 25
Lwandle Olyn | operation insert count 9 | operation find count = 19
Katleho Khoza | operation insert count 11 | operation find count = 23
Siyabonga Jacobs | operation insert count 12 | operation find count = 19
Hlelokuhle Modise | operation insert count 10 | operation find count = 17
Relebohile Madikizela | operation insert count 10 | operation find count = 19
Asemahle Moloi | operation insert count 11 | operation find count = 23
Karabo Shabangu | operation insert count 12 | operation find count = 21
Omphile Olyn | operation insert count 10 | operation find count = 19
Mia Molefe | operation insert count 2 | operation find count = 11
Minenhle Molefe | operation insert count 10 | operation find count = 19
Kamogelo Nhlapo | operation insert count 10 | operation find count = 17
Lesedi Nkosi | operation insert count 12 | operation find count = 21
Leah Ngobeni | operation insert count 11 | operation find count = 25
Junior Ngwenya | operation insert count 12 | operation find count = 23
Noah Ndou | operation insert count 9 | operation find count = 21
Likuwe Petersen | operation insert count 11 | operation find count = 15
Siphesihle Mathebula | operation insert count 9 | operation find count = 19
Leah Mofokeng | operation insert count 10 | operation find count = 19
Caleb Shabangu | operation insert count 11 | operation find count = 19
Luke Mosia | operation insert count 8 | operation find count = 15
Bokamoso Modise | operation insert count 11 | operation find count = 21
Likuwe Ngcobo | operation insert count 10 | operation find count = 19
Reatlegile Moeng | operation insert count 10 | operation find count = 23
Faith Motloung | operation insert count 10 | operation find count = 19
Lesedi Gumede | operation insert count 10 | operation find count = 21
Olothando Modise | operation insert count 11 | operation find count = 21
Lethokuhle Ngobeni | operation insert count 11 | operation find count = 25
Bokamoso Witbooi | operation insert count 11 | operation find count = 17
Amohelang Sithole | operation insert count 10 | operation find count = 21
Lingomso Petersen | operation insert count 11 | operation find count = 19
Othalive Mofokeng | operation insert count 10 | operation find count = 21
Melokuhle Mokoena | operation insert count 9 | operation find count = 15
Reatlegile Mogale | operation insert count 10 | operation find count = 19
Olerato Mogale | operation insert count 10 | operation find count = 19
Bandile Gumede | operation insert count 10 | operation find count = 17
Asemahle Adams | operation insert count 6 | operation find count = 11
Bayanda Jacobs | operation insert count 11 | operation find count = 21
Tshegofatso Motloung | operation insert count 10 | operation find count = 21
Likuwe Petersen | operation insert count 12 | operation find count = 17
Oratile Petersen | operation insert count 11 | operation find count = 19
Kungawo Mthembu | operation insert count 11 | operation find count = 23
Junior Shabangu | operation insert count 12 | operation find count = 21
Amahle Cloete | operation insert count 11 | operation find count = 23
Lethabo Mohlala | operation insert count 11 | operation find count = 25
Sphesihle Gumede | operation insert count 10 | operation find count = 23
Iminathi Jacobs | operation insert count 11 | operation find count = 21
Lingomso Booysen | operation insert count 10 | operation find count = 19
Melokuhle Booi | operation insert count 12 | operation find count = 21
Bokamoso Ndou | operation insert count 11 | operation find count = 19
Lesedi Beukes | operation insert count 7 | operation find count = 13
Katlego Mudau | operation insert count 10 | operation find count = 21
Asemahle Ndou | operation insert count 7 | operation find count = 17
Olerato Tsotetsi | operation insert count 11 | operation find count = 21
Angel Louw | operation insert count 12 | operation find count = 21
Faith Dyantyi | operation insert count 11 | operation find count = 21
Amogelang Adams | operation insert count 11 | operation find count = 21
Katlego Beukes | operation insert count 11 | operation find count = 21
Enzokuhle Louw | operation insert count 12 | operation find count = 23
Lebogang Petersen | operation insert count 11 | operation find count = 17
Thandolwethu Mosia | operation insert count 9 | operation find count = 23
Aphelele Moloi | operation insert count 11 | operation find count = 21
Onthatile Mokoena | operation insert count 10 | operation find count = 21
Ava Smith | operation insert count 10 | operation find count = 15
Noah Sithole | operation insert count 11 | operation find count = 23
Enzokuhle Booi | operation insert count 9 | operation find count = 11
Sphesihle Hendricks | operation insert count 11 | operation find count = 17
Relebohile Gumede | operation insert count 12 | operation find count = 21
Isabella Adams | operation insert count 8 | operation find count = 17
Bonolo Louw | operation insert count 4 | operation find count = 17
Omphile Moeng | operation insert count 10 | operation find count = 23
Kungawo Khoza | operation insert count 12 | operation find count = 21
Katlego Jack | operation insert count 11 | operation find count = 23
Lethokuhle Mahlangu | operation insert count 11 | operation find count = 23
Katlego Hendricks | operation insert count 12 | operation find count = 19
Bayanda Nhlapo | operation insert count 8 | operation find count = 13
Iminathi Khoza | operation insert count 12 | operation find count = 23
Katleho Mofokeng | operation insert count 11 | operation find count = 23
Angel Daniels | operation insert count 10 | operation find count = 21
Bokamoso Mathebula | operation insert count 9 | operation find count = 21
Okuhle Visagie | operation insert count 11 | operation find count = 21
Bokamoso Beukes | operation insert count 11 | operation find count = 21
Olothando Booi | operation insert count 11 | operation find count = 19
Melokuhle Khoza | operation insert count 12 | operation find count = 19
Likuwe Khoza | operation insert count 11 | operation find count = 23
Enzokuhle Ndou | operation insert count 10 | operation find count = 23
Nkosenhle Gumede | operation insert count 9 | operation find count = 15
Likuwe Moloi | operation insert count 11 | operation find count = 25
Onthatile Sithole | operation insert count 11 | operation find count = 21
Siyabonga Mudau | operation insert count 11 | operation find count = 21
Lesedi Molefe | operation insert count 10 | operation find count = 19
Karabo Nkosi | operation insert count 10 | operation find count = 19
Joshua Daniels | operation insert count 11 | operation find count = 19
Philasande Williams | operation insert count 8 | operation find count = 13
Khayone Ngwenya | operation insert count 11 | operation find count = 23
Tshegofatso Daniels | operation insert count 11 | operation find count = 23
Rorisang Booi | operation insert count 11 | operation find count = 23
Letlotlo Ngobeni | operation insert count 11 | operation find count = 25
Rethabile Jacobs | operation insert count 11 | operation find count = 23
Amohelang Booysen | operation insert count 11 | operation find count = 23
Lethabo Tshabalala | operation insert count 10 | operation find count = 21
Thandolwethu Jacobs | operation insert count 12 | operation find count = 21
Onthatile Mathebula | operation insert count 11 | operation find count = 21
Lethabo Olyn | operation insert count 11 | operation find count = 19
Relebohile Madikizela | operation insert count 7 | operation find count = 9
Likuwe Ndou | operation insert count 10 | operation find count = 23
Onthatile Modise | operation insert count 10 | operation find count = 17
Likuwe Louw | operation insert count 12 | operation find count = 21
Angel Peter | operation insert count 10 | operation find count = 17
Bayanda Mudau | operation insert count 11 | operation find count = 21
Philasande Nkosi | operation insert count 11 | operation find count = 21
Karabo Maseko | operation insert count 10 | operation find count = 25
Reneilwe Maseko | operation insert count 10 | operation find count = 23
Lubanzi Mosia | operation insert count 10 | operation find count = 23
Onthatile Dyantyi | operation insert count 11 | operation find count = 21
Lubanzi Hendricks | operation insert count 11 | operation find count = 19
Bokang Dlamini | operation insert count 11 | operation find count = 21
Lesedi Khumalo | operation insert count 12 | operation find count = 23
Lingomso Mokoena | operation insert count 10 | operation find count = 17
Thandolwethu Mnisi | operation insert count 10 | operation find count = 21
Tshegofatso Buthelezi | operation insert count 11 | operation find count = 21
Ava Van | operation insert count 9 | operation find count = 19
Likuwe Ngcobo | operation insert count 10 | operation find count = 19
Esihle Visagie | operation insert count 11 | operation find count = 21
Leah Mohlala | operation insert count 11 | operation find count = 21
Iminathi Shabangu | operation insert count 12 | operation find count = 21
Ayabonga Ngcobo | operation insert count 10 | operation find count = 21
Banele Tshabalala | operation insert count 11 | operation find count = 21
Angel Ndlovu | operation insert count 10 | operation find count = 21
Lwandle Booi | operation insert count 12 | operation find count = 19
Asemahle Adams | operation insert count 11 | operation find count = 19
Esihle Modise | operation insert count 10 | operation find count = 21
Lubanzi Mofokeng | operation insert count 10 | operation find count = 21
Siphesihle Mahlangu | operation insert count 7 | operation find count = 19
Enzokuhle Visagie | operation insert count 9 | operation find count = 15
Minenhle Jack | operation insert count 12 | operation find count = 21
Kamohelo Ndou | operation insert count 10 | operation find count = 19
Alunamda Peter | operation insert count 11 | operation find count = 21
Onthatile Tshabalala | operation insert count 11 | operation find count = 21
